Geburtsjahr;maennlich;weiblich
1913;.;.
1914;.;3
1915;-;.
1916;-;3
1917;5;9
1918;3;17
1919;4;39
1920;15;82
1921;26;121
1922;37;184
1923;41;203
1924;79;300
1925;111;407
1926;191;530
1927;247;629
1928;365;838
1929;438;948
1930;544;1081
1931;632;1154
1932;693;1210
1933;813;1327
1934;1190;1948
1935;1442;2167
1936;1540;2324
1937;1819;2630
1938;1997;2866
1939;2307;3091
1940;2459;3289
1941;2456;3157
1942;2083;2756
1943;2125;2795
1944;2161;3009
1945;1847;2360
1946;2209;2659
1947;2350;2871
1948;2492;2928
1949;2679;3231
1950;2736;3219
1951;2676;3196
1952;2805;3222
1953;2778;3273
1954;2992;3378
1955;3150;3485
1956;3388;3550
1957;3522;3733
1958;3594;3822
1959;3866;4079
1960;4230;4174
1961;4359;4285
1962;4551;4500
1963;4804;4598
1964;5026;4864
1965;5105;4812
1966;5326;4866
1967;5286;4891
1968;5225;5023
1969;4974;4809
1970;4827;4543
1971;4726;4479
1972;4476;4124
1973;4266;4150
1974;4157;4207
1975;4333;4097
1976;4399;4303
1977;4423;4432
1978;4410;4494
1979;4656;4593
1980;4889;4907
1981;4909;4908
1982;5132;5091
1983;4978;5109
1984;5009;5128
1985;5325;5257
1986;5521;5521
1987;5679;5687
1988;5844;6131
1989;5560;5925
1990;5536;5975
1991;5167;5752
1992;5170;5508
1993;4436;5079
1994;4069;4553
1995;3799;4037
1996;3624;3935
1997;3382;3751
1998;3201;3258
1999;2940;3017
2000;2750;2769
2001;2578;2434
2002;2581;2439
2003;2530;2351
2004;2663;2423
2005;2562;2520
2006;2725;2464
2007;2766;2614
2008;2928;2711
2009;2790;2650
2010;2951;2759
2011;2745;2649
2012;2996;2633
2013;2879;2867
2014;3022;3005
2015;3135;2901
2016;3287;3153
2017;3376;3080
2018;3320;3113
2019;3246;3021
