Geburtsjahr;maennlich;weiblich
1917;.;3
1918;.;.
1919;-;3
1920;.;15
1921;3;15
1922;6;32
1923;10;47
1924;14;78
1925;28;104
1926;54;181
1927;64;242
1928;112;336
1929;167;437
1930;226;532
1931;302;600
1932;337;697
1933;433;796
1934;663;1281
1935;884;1531
1936;1004;1715
1937;1283;2032
1938;1410;2278
1939;1684;2557
1940;1881;2718
1941;1877;2621
1942;1670;2364
1943;1692;2427
1944;1787;2640
1945;1510;2103
1946;1831;2409
1947;2000;2665
1948;2173;2710
1949;2369;2990
1950;2419;2999
1951;2375;3009
1952;2540;3071
1953;2487;3099
1954;2690;3193
1955;2846;3289
1956;3077;3372
1957;3275;3516
1958;3347;3642
1959;3594;3911
1960;3972;3995
1961;4117;4154
1962;4334;4406
1963;4560;4445
1964;4821;4723
1965;4878;4694
1966;5109;4761
1967;5100;4743
1968;5048;4889
1969;4799;4732
1970;4699;4488
1971;4544;4469
1972;4293;4065
1973;4063;4099
1974;3963;4162
1975;4170;4071
1976;4248;4297
1977;4244;4343
1978;4177;4393
1979;4357;4398
1980;4581;4743
1981;4561;4648
1982;4805;4821
1983;4764;4824
1984;4742;4832
1985;5048;4889
1986;5251;5169
1987;5375;5292
1988;5679;5706
1989;5599;5635
1990;5821;5830
1991;5688;5752
1992;5871;5906
1993;5612;5903
1994;5297;5680
1995;5139;5331
1996;5077;5425
1997;4658;5310
1998;4202;4558
1999;3811;4189
2000;3613;3966
2001;3238;3606
2002;3079;3364
2003;2857;3054
2004;2854;2822
2005;2725;2713
2006;2853;2554
2007;2883;2672
2008;3039;2765
2009;2863;2698
2010;3030;2781
2011;2797;2672
2012;3017;2677
2013;2939;2869
2014;2985;2992
2015;3030;2869
2016;3118;2977
2017;3144;2939
2018;3058;2859
2019;2953;2720
2020;2907;2817
2021;3134;2890
2022;2953;2835
2023;2788;2514
